Experiment_ID,Matrix_Size,CPU_Set_Name,CPU_Cores_List,Run_Number
EXP_0434,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],14
EXP_0303,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],3
EXP_0226,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],16
EXP_0027,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],27
EXP_0425,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],5
EXP_0264,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],24
EXP_0051,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],21
EXP_0230,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],20
EXP_0038,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],8
EXP_0158,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],8
EXP_0238,2000,8E,[16; 17; 18; 19; 20; 21; 22; 23],28
EXP_0575,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],5
EXP_0176,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],26
EXP_0515,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],5
EXP_0358,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],28
EXP_0195,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],15
EXP_0504,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],24
EXP_0579,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],9
EXP_0512,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],2
EXP_0068,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],8
EXP_0320,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],20
EXP_0169,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],19
EXP_0368,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],8
EXP_0163,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],13
EXP_0194,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],14
EXP_0153,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],3
EXP_0502,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],22
EXP_0347,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],17
EXP_0486,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],6
EXP_0334,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],4
EXP_0104,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],14
EXP_0391,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],1
EXP_0075,1000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],15
EXP_0423,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],3
EXP_0578,8000,8E,[16; 17; 18; 19; 20; 21; 22; 23],8
EXP_0120,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],30
EXP_0397,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],7
EXP_0410,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],20
EXP_0482,8000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],2
EXP_0208,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],28
EXP_0335,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],5
EXP_0353,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],23
EXP_0342,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],12
EXP_0405,6000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],15
EXP_0009,1000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],9
EXP_0378,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],18
EXP_0037,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],7
EXP_0140,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],20
EXP_0254,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],14
EXP_0304,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],4
EXP_0543,8000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],3
EXP_0060,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],30
EXP_0112,1000,8E,[16; 17; 18; 19; 20; 21; 22; 23],22
EXP_0364,6000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],4
EXP_0355,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],25
EXP_0263,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],23
EXP_0526,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],16
EXP_0298,4000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],28
EXP_0151,2000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],1
EXP_0267,4000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],27
EXP_0519,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],9
EXP_0531,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],21
EXP_0039,1000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],9
EXP_0432,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],12
EXP_0308,4000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],8
EXP_0199,2000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],19
EXP_0356,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],26
EXP_0147,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],27
EXP_0471,6000,8E,[16; 17; 18; 19; 20; 21; 22; 23],21
EXP_0533,8000,4P_HT_ON,[0; 1; 2; 3; 4; 5; 6; 7],23
EXP_0148,2000,8P_HT_OFF,[0; 2; 4; 6; 8; 10; 12; 14],28
EXP_0421,6000,4P_4E_HT_OFF,[0; 2; 4; 6; 16; 17; 18; 19],1
EXP_0349,4000,8E,[16; 17; 18; 19; 20; 21; 22; 23],19
